password_reuse,password_strength,password_change_freq,mfa_usage,click_unknown_links,verify_sender,report_suspicious_email,past_phishing_victim,training_completion,training_engagement,device_type,public_wifi_usage,unknown_usb_usage,social_media_oversharing,screen_lock_habit,credential_sharing,department,risk_level
Sometimes,Simple (name/birthdate/common word),Every 1-3 months,Never,"Yes, likely",Never,Open it to check,Once,"Yes, but over a year ago",Skip when possible,Personal device (BYOD),Frequently,Never,Frequently,Never,Once,Sales & Marketing,High
Always,Simple (name/birthdate/common word),Rarely,Never,"Yes, likely",Never,Open it to check,More than once,Never,Skip when possible,Shared/public device,Frequently,"Yes, if it looks harmless",Frequently,Never,Occasionally,Sales & Marketing,Severe
Sometimes,"Long & random (12+ chars, mixed)",Every 1-3 months,Sometimes,"Yes, likely",Never,Open it to check,More than once,"Yes, recently (within 6 months)",Attend but forget,Personal device (BYOD),Never,Never,Never,Never,Once,Finance,Moderate
Often,Simple (name/birthdate/common word),Rarely,Always,"Yes, likely",Never,Open it to check,More than once,"Yes, but over a year ago",Skip when possible,Personal device (BYOD),Frequently,"Yes, if it looks harmless",Frequently,Never,Occasionally,Sales & Marketing,High
Always,Medium (word + numbers),Rarely,Always,"Yes, likely",Never,Delete it,Never,"Yes, but over a year ago","Very seriously, apply what I learn",Company-issued & managed,Never,"Yes, if it looks harmless",Occasionally,Never,Never,Operations,Moderate
Often,Simple (name/birthdate/common word),Never,Never,"Yes, likely",Never,Open it to check,Never,Never,Skip when possible,Personal device (BYOD),Frequently,Only after scanning it,Frequently,Never,Occasionally,Other,Severe
Never,"Long & random (12+ chars, mixed)",Every 6-12 months,Sometimes,"Yes, likely",Always,Open it to check,More than once,Never,Skip when possible,Company-issued & managed,Never,Never,Occasionally,Never,Never,Other,Moderate
Never,"Long & random (12+ chars, mixed)",Never,Never,"Yes, likely",Never,Delete it,Once,"Yes, but over a year ago",Skip when possible,Company-issued & managed,Frequently,Only after scanning it,Occasionally,Sometimes,Occasionally,Sales & Marketing,High
Always,"Long & random (12+ chars, mixed)",Every 6-12 months,Always,Never,Never,Ignore it,Never,"Yes, but over a year ago",Skip when possible,Shared/public device,Frequently,Only after scanning it,Frequently,Always,Once,Operations,Moderate
Never,"Long & random (12+ chars, mixed)",Rarely,Sometimes,Never,Always,Report to IT/Security,Never,"Yes, but over a year ago","Very seriously, apply what I learn",Personal device (BYOD),Never,Never,Never,Always,Never,Operations,Low
Always,Simple (name/birthdate/common word),Rarely,Never,"Yes, likely",Sometimes,Open it to check,Never,Never,"Very seriously, apply what I learn",Company-issued & managed,Never,"Yes, if it looks harmless",Never,Sometimes,Once,Sales & Marketing,Moderate
Always,Simple (name/birthdate/common word),Rarely,Never,"Yes, likely",Sometimes,Open it to check,More than once,Never,Skip when possible,Shared/public device,Frequently,"Yes, if it looks harmless",Frequently,Always,Occasionally,Finance,Severe
Always,Medium (word + numbers),Rarely,Never,"Yes, likely",Sometimes,Ignore it,More than once,Never,Skip when possible,Shared/public device,Never,"Yes, if it looks harmless",Frequently,Never,Occasionally,HR,Severe
Always,Simple (name/birthdate/common word),Never,Sometimes,"Yes, likely",Sometimes,Ignore it,More than once,"Yes, recently (within 6 months)",Skip when possible,Shared/public device,Never,Only after scanning it,Never,Always,Occasionally,Operations,Moderate
Always,Medium (word + numbers),Rarely,Sometimes,"Yes, likely",Never,Open it to check,More than once,"Yes, but over a year ago",Skip when possible,Shared/public device,Never,Only after scanning it,Frequently,Never,Once,Finance,Moderate
Sometimes,Simple (name/birthdate/common word),Rarely,Always,Rarely,Always,Report to IT/Security,Never,"Yes, recently (within 6 months)",Attend but forget,Company-issued & managed,Never,Never,Never,Always,Once,HR,Low
Always,"Long & random (12+ chars, mixed)",Every 1-3 months,Always,,Never,Report to IT/Security,Once,Never,Skip when possible,,Never,Never,Occasionally,Never,Occasionally,Sales & Marketing,Moderate
Often,Simple (name/birthdate/common word),Never,Never,Sometimes,Sometimes,Open it to check,More than once,"Yes, but over a year ago",Skip when possible,Company-issued & managed,Frequently,Only after scanning it,Frequently,Never,Occasionally,Finance,High
Always,Simple (name/birthdate/common word),Rarely,Never,Sometimes,Never,Delete it,Once,Never,Attend but forget,Company-issued & managed,Frequently,"Yes, if it looks harmless",Occasionally,Never,Occasionally,HR,Severe
Never,"Long & random (12+ chars, mixed)",Every 6-12 months,Always,,Always,Delete it,Once,"Yes, but over a year ago",Skip when possible,Shared/public device,,Never,Never,Always,Once,IT,Low
Often,Medium (word + numbers),Rarely,Sometimes,"Yes, likely",Always,Open it to check,Never,"Yes, recently (within 6 months)","Very seriously, apply what I learn",Shared/public device,Rarely,"Yes, if it looks harmless",Never,Never,Occasionally,Other,Moderate
Always,,Never,Never,"Yes, likely",Never,Open it to check,More than once,Never,Skip when possible,Personal device (BYOD),Frequently,"Yes, if it looks harmless",,Never,Occasionally,Other,Severe
Sometimes,Medium (word + numbers),Every 1-3 months,Always,Sometimes,Never,Delete it,Once,"Yes, but over a year ago","Very seriously, apply what I learn",Shared/public device,Frequently,Never,Frequently,Never,Once,IT,Moderate
Always,Medium (word + numbers),Rarely,Never,"Yes, likely",Never,Open it to check,More than once,Never,Skip when possible,Shared/public device,Frequently,"Yes, if it looks harmless",Occasionally,Never,Occasionally,Operations,Severe
Sometimes,Medium (word + numbers),Every 6-12 months,Never,Never,Always,Ignore it,Never,Never,Skip when possible,Company-issued & managed,Never,Only after scanning it,Occasionally,Sometimes,Once,HR,Moderate
Often,Medium (word + numbers),Never,Never,"Yes, likely",Never,Report to IT/Security,Once,Never,Skip when possible,Company-issued & managed,Frequently,Never,Frequently,Always,Occasionally,Operations,High
Sometimes,Simple (name/birthdate/common word),Every 6-12 months,Always,Sometimes,Sometimes,Report to IT/Security,More than once,Never,"Very seriously, apply what I learn",Personal device (BYOD),Never,Never,Never,Never,Once,Sales & Marketing,Moderate
Always,Simple (name/birthdate/common word),Every 6-12 months,Never,"Yes, likely",Never,Open it to check,More than once,Never,Skip when possible,Shared/public device,Frequently,"Yes, if it looks harmless",Never,Never,Once,Finance,Severe
Always,Simple (name/birthdate/common word),Rarely,Never,"Yes, likely",Never,Open it to check,More than once,Never,Skip when possible,Personal device (BYOD),Frequently,"Yes, if it looks harmless",Frequently,Never,Occasionally,Sales & Marketing,Severe
Never,Medium (word + numbers),Every 6-12 months,Sometimes,Never,Always,Report to IT/Security,More than once,Never,"Very seriously, apply what I learn",Personal device (BYOD),Never,Only after scanning it,Never,Always,Never,Finance,Low
Never,Medium (word + numbers),Every 6-12 months,Never,Never,Always,Open it to check,Never,"Yes, but over a year ago",Attend but forget,Personal device (BYOD),Frequently,Never,Frequently,Never,Never,Operations,Low
Often,"Long & random (12+ chars, mixed)",Every 6-12 months,Sometimes,"Yes, likely",Never,Open it to check,More than once,"Yes, but over a year ago",Skip when possible,Shared/public device,Never,"Yes, if it looks harmless",Frequently,Never,Once,IT,High
Always,Simple (name/birthdate/common word),Every 6-12 months,Always,Sometimes,Always,Ignore it,More than once,"Yes, recently (within 6 months)",Attend but forget,Personal device (BYOD),Frequently,Never,Frequently,Never,Never,IT,Moderate
Often,Medium (word + numbers),Every 6-12 months,Always,Rarely,Sometimes,Open it to check,Once,"Yes, recently (within 6 months)",Attend but forget,Company-issued & managed,Rarely,"Yes, if it looks harmless",Never,Always,Once,Operations,Low
Always,Simple (name/birthdate/common word),,Never,"Yes, likely",Never,Open it to check,More than once,Never,Attend but forget,Shared/public device,Frequently,Only after scanning it,Never,Never,,Operations,Severe
Always,"Long & random (12+ chars, mixed)",Rarely,Never,"Yes, likely",Sometimes,Open it to check,Never,"Yes, recently (within 6 months)",Attend but forget,Shared/public device,Frequently,"Yes, if it looks harmless",Occasionally,Sometimes,Occasionally,IT,Moderate
Never,Simple (name/birthdate/common word),Every 1-3 months,Sometimes,Never,Always,Ignore it,Once,"Yes, recently (within 6 months)","Very seriously, apply what I learn",Shared/public device,Never,Only after scanning it,Frequently,Sometimes,Once,Sales & Marketing,Moderate
Sometimes,Simple (name/birthdate/common word),Every 6-12 months,Sometimes,"Yes, likely",Sometimes,Open it to check,More than once,Never,Skip when possible,Company-issued & managed,Frequently,"Yes, if it looks harmless",Never,Always,Never,Other,Moderate
Never,"Long & random (12+ chars, mixed)",Every 1-3 months,Always,Rarely,Sometimes,Delete it,Never,"Yes, recently (within 6 months)","Very seriously, apply what I learn",Shared/public device,Frequently,Never,Frequently,Sometimes,Never,IT,Low
Never,"Long & random (12+ chars, mixed)",Every 1-3 months,Always,Never,Always,Delete it,More than once,"Yes, but over a year ago","Very seriously, apply what I learn",Shared/public device,Rarely,Never,Frequently,Always,Occasionally,Sales & Marketing,Low
Always,"Long & random (12+ chars, mixed)",Every 6-12 months,Sometimes,,,Ignore it,Never,"Yes, but over a year ago","Very seriously, apply what I learn",Shared/public device,Frequently,Never,Never,Never,Once,Finance,Moderate
Sometimes,"Long & random (12+ chars, mixed)",Rarely,Sometimes,Rarely,Sometimes,Report to IT/Security,Once,"Yes, recently (within 6 months)",Attend but forget,Company-issued & managed,Rarely,Only after scanning it,Occasionally,Sometimes,Occasionally,Other,Moderate
Sometimes,"Long & random (12+ chars, mixed)",Every 1-3 months,Never,Never,Always,Report to IT/Security,Never,"Yes, recently (within 6 months)","Very seriously, apply what I learn",Shared/public device,Rarely,Never,Never,Sometimes,Never,Operations,Low
Never,Medium (word + numbers),Every 1-3 months,Always,Sometimes,Never,Report to IT/Security,Once,"Yes, recently (within 6 months)",Attend but forget,Company-issued & managed,Never,Never,Never,Always,Never,Operations,Moderate
Never,Medium (word + numbers),Never,Always,Never,Always,Ignore it,Never,"Yes, recently (within 6 months)",Attend but forget,Personal device (BYOD),Rarely,Never,Never,Always,Never,Operations,Low
Never,"Long & random (12+ chars, mixed)",Every 6-12 months,Always,Sometimes,Never,Open it to check,Never,"Yes, but over a year ago","Very seriously, apply what I learn",Personal device (BYOD),Frequently,"Yes, if it looks harmless",Frequently,Never,Occasionally,Operations,Moderate
Never,"Long & random (12+ chars, mixed)",Every 1-3 months,Always,Never,Always,Report to IT/Security,Never,Never,"Very seriously, apply what I learn",Company-issued & managed,Never,Never,Never,Always,Never,IT,Low
Never,"Long & random (12+ chars, mixed)",Every 6-12 months,Always,Sometimes,Always,Report to IT/Security,Never,"Yes, but over a year ago","Very seriously, apply what I learn",Company-issued & managed,Rarely,"Yes, if it looks harmless",Occasionally,Sometimes,Never,Finance,Low
Sometimes,"Long & random (12+ chars, mixed)",Every 1-3 months,Always,Never,Always,Report to IT/Security,Never,Never,Attend but forget,Personal device (BYOD),Never,Never,Frequently,Always,Never,Finance,Low
Always,Medium (word + numbers),Rarely,Always,"Yes, likely",Never,Open it to check,More than once,Never,"Very seriously, apply what I learn",Company-issued & managed,Frequently,"Yes, if it looks harmless",Never,Sometimes,Never,IT,Moderate
Never,"Long & random (12+ chars, mixed)",Every 1-3 months,Always,Never,Always,Delete it,Never,"Yes, recently (within 6 months)","Very seriously, apply what I learn",Company-issued & managed,Never,Never,Never,Always,Once,Operations,Low
Never,Simple (name/birthdate/common word),Rarely,Always,Rarely,Always,Ignore it,Once,"Yes, but over a year ago","Very seriously, apply what I learn",Company-issued & managed,Frequently,Only after scanning it,Occasionally,Always,Once,Sales & Marketing,Low
Always,Simple (name/birthdate/common word),Never,Never,"Yes, likely",Never,Open it to check,More than once,"Yes, but over a year ago",Skip when possible,Company-issued & managed,,"Yes, if it looks harmless",,Never,Once,Other,Severe
Always,Simple (name/birthdate/common word),Rarely,Never,"Yes, likely",Never,Open it to check,More than once,"Yes, but over a year ago",Skip when possible,Company-issued & managed,Rarely,"Yes, if it looks harmless",Frequently,Sometimes,Occasionally,Operations,Severe
Never,"Long & random (12+ chars, mixed)",Every 1-3 months,Always,Rarely,Always,Report to IT/Security,Never,"Yes, recently (within 6 months)","Very seriously, apply what I learn",Company-issued & managed,Never,Only after scanning it,Never,Always,Never,Sales & Marketing,Low
Always,Medium (word + numbers),Rarely,Always,"Yes, likely",Sometimes,Open it to check,Once,"Yes, recently (within 6 months)",Attend but forget,Shared/public device,Never,"Yes, if it looks harmless",Frequently,Never,Occasionally,Operations,Moderate
Never,Simple (name/birthdate/common word),Every 1-3 months,Sometimes,Sometimes,Always,Ignore it,More than once,"Yes, recently (within 6 months)",Skip when possible,Company-issued & managed,Never,"Yes, if it looks harmless",Never,Always,Never,Sales & Marketing,Low
Never,Medium (word + numbers),Every 1-3 months,Sometimes,Never,Always,Report to IT/Security,Never,"Yes, recently (within 6 months)","Very seriously, apply what I learn",Personal device (BYOD),Rarely,Never,Frequently,Always,Never,Operations,Low
Often,"Long & random (12+ chars, mixed)",Rarely,Never,Sometimes,Always,Open it to check,More than once,Never,"Very seriously, apply what I learn",Personal device (BYOD),Rarely,"Yes, if it looks harmless",Never,Always,Occasionally,Sales & Marketing,Moderate
Sometimes,Simple (name/birthdate/common word),Every 6-12 months,Sometimes,"Yes, likely",Sometimes,Open it to check,More than once,Never,Skip when possible,Company-issued & managed,Frequently,"Yes, if it looks harmless",Never,Always,Never,Other,Moderate
Often,Simple (name/birthdate/common word),Rarely,Never,"Yes, likely",Never,Report to IT/Security,More than once,"Yes, but over a year ago",Skip when possible,Personal device (BYOD),Never,"Yes, if it looks harmless",Occasionally,Sometimes,Never,HR,Moderate
,Medium (word + numbers),,Sometimes,Never,Always,Delete it,Never,"Yes, but over a year ago",Skip when possible,Shared/public device,Never,Never,Never,Always,Never,Other,Low
,Medium (word + numbers),Never,Never,Rarely,Never,Open it to check,,"Yes, recently (within 6 months)","Very seriously, apply what I learn",Shared/public device,Frequently,"Yes, if it looks harmless",Never,Always,Once,Operations,Moderate
Never,"Long & random (12+ chars, mixed)",Every 6-12 months,Always,Never,Always,Report to IT/Security,Never,"Yes, recently (within 6 months)",Skip when possible,Shared/public device,Never,Never,Frequently,Always,Never,IT,Low
Sometimes,Medium (word + numbers),Every 1-3 months,Sometimes,Rarely,Never,Ignore it,Never,"Yes, but over a year ago","Very seriously, apply what I learn",Company-issued & managed,Frequently,Only after scanning it,Never,Always,Occasionally,HR,Moderate
Never,Simple (name/birthdate/common word),Every 6-12 months,Always,Never,Sometimes,,Never,"Yes, but over a year ago","Very seriously, apply what I learn",Shared/public device,Never,"Yes, if it looks harmless",Frequently,Always,Once,Operations,Low
Sometimes,"Long & random (12+ chars, mixed)",Every 6-12 months,Sometimes,Sometimes,Never,Report to IT/Security,Never,Never,Skip when possible,Personal device (BYOD),Frequently,Only after scanning it,Occasionally,Sometimes,Occasionally,HR,High
Sometimes,Simple (name/birthdate/common word),Every 1-3 months,Sometimes,Rarely,Never,Ignore it,Never,"Yes, but over a year ago","Very seriously, apply what I learn",Company-issued & managed,Rarely,Never,Frequently,Always,Once,Sales & Marketing,Low
Never,Simple (name/birthdate/common word),Every 6-12 months,Sometimes,Sometimes,Always,Open it to check,Once,Never,Attend but forget,Shared/public device,Frequently,"Yes, if it looks harmless",Frequently,Sometimes,Never,IT,High
Always,Medium (word + numbers),Every 1-3 months,Always,Sometimes,Never,Open it to check,More than once,"Yes, recently (within 6 months)","Very seriously, apply what I learn",Shared/public device,Never,Only after scanning it,Frequently,Always,Once,Other,Moderate
Often,"Long & random (12+ chars, mixed)",Every 1-3 months,Never,Never,Sometimes,Open it to check,Never,"Yes, but over a year ago",Skip when possible,Personal device (BYOD),Frequently,Only after scanning it,Occasionally,Never,Never,Operations,Low
Always,Medium (word + numbers),Never,Never,Rarely,Sometimes,Delete it,More than once,"Yes, recently (within 6 months)",Skip when possible,Personal device (BYOD),Frequently,Only after scanning it,Frequently,Never,Never,Finance,High
Never,"Long & random (12+ chars, mixed)",Every 6-12 months,Never,Never,Never,Report to IT/Security,Never,"Yes, recently (within 6 months)","Very seriously, apply what I learn",Company-issued & managed,Frequently,Never,Frequently,Sometimes,Never,IT,Low
Never,"Long & random (12+ chars, mixed)",Never,Sometimes,Never,Never,Report to IT/Security,More than once,Never,Skip when possible,Company-issued & managed,Never,Only after scanning it,Frequently,Sometimes,Occasionally,Sales & Marketing,Moderate
Sometimes,Medium (word + numbers),Every 1-3 months,Never,Never,Sometimes,Delete it,More than once,"Yes, but over a year ago","Very seriously, apply what I learn",Shared/public device,Rarely,"Yes, if it looks harmless",Occasionally,Never,Occasionally,Other,Low
Always,Simple (name/birthdate/common word),Never,Never,"Yes, likely",Sometimes,Open it to check,More than once,Never,Attend but forget,Shared/public device,Rarely,Only after scanning it,Occasionally,Never,Occasionally,Operations,Severe
Sometimes,Medium (word + numbers),Every 6-12 months,Always,Rarely,Sometimes,Report to IT/Security,Never,"Yes, recently (within 6 months)","Very seriously, apply what I learn",Company-issued & managed,Rarely,Only after scanning it,Never,Sometimes,Once,Operations,Low
Never,"Long & random (12+ chars, mixed)",Every 1-3 months,Always,Never,Always,Delete it,Never,Never,Skip when possible,Company-issued & managed,Never,Only after scanning it,Occasionally,Sometimes,Occasionally,Sales & Marketing,Low
Sometimes,Simple (name/birthdate/common word),Every 6-12 months,Never,"Yes, likely",Sometimes,Open it to check,More than once,"Yes, but over a year ago",Skip when possible,Personal device (BYOD),Frequently,"Yes, if it looks harmless",Frequently,Sometimes,Occasionally,Finance,High
Never,Simple (name/birthdate/common word),Every 6-12 months,Always,Rarely,Always,Delete it,More than once,"Yes, recently (within 6 months)","Very seriously, apply what I learn",Shared/public device,Frequently,Only after scanning it,Never,Always,Once,Other,Low
Always,"Long & random (12+ chars, mixed)",Never,Never,Rarely,Never,Open it to check,More than once,Never,Skip when possible,Personal device (BYOD),Frequently,"Yes, if it looks harmless",Frequently,Never,Occasionally,Other,Severe
Never,Medium (word + numbers),Every 6-12 months,Always,Rarely,Always,Delete it,Never,"Yes, recently (within 6 months)","Very seriously, apply what I learn",Company-issued & managed,Never,Never,Occasionally,Always,Never,Sales & Marketing,Low
Sometimes,"Long & random (12+ chars, mixed)",Every 1-3 months,Sometimes,"Yes, likely",Always,Report to IT/Security,Never,"Yes, but over a year ago",Attend but forget,Personal device (BYOD),Never,Never,Never,Always,Once,Sales & Marketing,Low
Sometimes,"Long & random (12+ chars, mixed)",Every 1-3 months,Always,Rarely,Always,Report to IT/Security,Never,"Yes, recently (within 6 months)","Very seriously, apply what I learn",Company-issued & managed,Never,Never,Never,Always,Once,Sales & Marketing,Low
Often,Simple (name/birthdate/common word),Never,,"Yes, likely",Never,Ignore it,More than once,Never,Skip when possible,Personal device (BYOD),Frequently,"Yes, if it looks harmless",Frequently,Never,Never,Other,Severe
Never,Medium (word + numbers),Every 6-12 months,Always,Sometimes,Always,Ignore it,Once,"Yes, recently (within 6 months)",Attend but forget,Personal device (BYOD),Never,"Yes, if it looks harmless",Frequently,Always,Once,IT,Low
Never,"Long & random (12+ chars, mixed)",Rarely,Sometimes,"Yes, likely",Sometimes,Report to IT/Security,Never,"Yes, recently (within 6 months)","Very seriously, apply what I learn",Personal device (BYOD),Never,Only after scanning it,Never,Always,Never,Operations,Low
Always,Medium (word + numbers),Never,Always,Never,Always,Open it to check,Never,"Yes, recently (within 6 months)",Attend but forget,Company-issued & managed,Never,"Yes, if it looks harmless",Never,Always,Occasionally,IT,Low
Often,Medium (word + numbers),Rarely,Always,"Yes, likely",Always,,Never,"Yes, recently (within 6 months)",Attend but forget,Company-issued & managed,Rarely,"Yes, if it looks harmless",Frequently,Always,Never,HR,Low
Always,"Long & random (12+ chars, mixed)",Rarely,Always,Never,Sometimes,Report to IT/Security,Never,"Yes, but over a year ago",Attend but forget,Personal device (BYOD),Rarely,Never,Occasionally,Sometimes,Occasionally,Sales & Marketing,Low
Never,Simple (name/birthdate/common word),Never,Always,Never,Never,Delete it,Once,Never,"Very seriously, apply what I learn",Shared/public device,Rarely,Never,Occasionally,Sometimes,Occasionally,Sales & Marketing,Moderate
Never,"Long & random (12+ chars, mixed)",Every 1-3 months,Always,Never,Always,Report to IT/Security,Never,"Yes, recently (within 6 months)","Very seriously, apply what I learn",Personal device (BYOD),Never,Never,Occasionally,Always,Never,HR,Low
Always,"Long & random (12+ chars, mixed)",Every 6-12 months,Always,Sometimes,Never,Ignore it,Never,Never,Attend but forget,Company-issued & managed,Frequently,"Yes, if it looks harmless",Frequently,Sometimes,Occasionally,Sales & Marketing,Moderate
Often,"Long & random (12+ chars, mixed)",Every 1-3 months,Always,Rarely,Always,Open it to check,More than once,"Yes, but over a year ago",Attend but forget,Personal device (BYOD),Never,Only after scanning it,Never,Never,Occasionally,Other,Low
Always,Medium (word + numbers),Never,Never,"Yes, likely",Always,Open it to check,Once,Never,Attend but forget,Shared/public device,Never,Only after scanning it,Frequently,Never,Occasionally,Operations,High
Often,Simple (name/birthdate/common word),Never,Sometimes,"Yes, likely",Sometimes,Delete it,More than once,Never,Skip when possible,Shared/public device,Frequently,"Yes, if it looks harmless",Never,Sometimes,Occasionally,Sales & Marketing,High
Often,"Long & random (12+ chars, mixed)",Every 1-3 months,Sometimes,,Always,Ignore it,Once,Never,Attend but forget,Personal device (BYOD),Never,"Yes, if it looks harmless",,Sometimes,Never,HR,Low
Often,Medium (word + numbers),Never,Never,,Never,Delete it,Once,,Attend but forget,Shared/public device,Never,Only after scanning it,Frequently,Sometimes,Never,Other,High
Sometimes,"Long & random (12+ chars, mixed)",Every 1-3 months,Always,Rarely,Always,Delete it,Never,Never,"Very seriously, apply what I learn",Company-issued & managed,Never,Never,Never,Always,Never,Finance,Low
Always,Simple (name/birthdate/common word),Every 6-12 months,Never,"Yes, likely",Never,Open it to check,More than once,"Yes, but over a year ago",Attend but forget,Personal device (BYOD),Rarely,"Yes, if it looks harmless",Frequently,Always,Occasionally,Finance,High
Sometimes,Medium (word + numbers),Every 6-12 months,Always,"Yes, likely",Sometimes,Delete it,More than once,Never,Attend but forget,Shared/public device,Never,Never,Never,Always,Never,Other,Low
Never,"Long & random (12+ chars, mixed)",Every 1-3 months,Always,Never,Always,Report to IT/Security,Once,"Yes, but over a year ago","Very seriously, apply what I learn",Company-issued & managed,Rarely,Never,Never,Sometimes,Once,HR,Low
Never,Medium (word + numbers),Rarely,Never,Never,Always,Report to IT/Security,,"Yes, recently (within 6 months)",Attend but forget,Company-issued & managed,Never,"Yes, if it looks harmless",Occasionally,Always,Once,Sales & Marketing,Low
Always,Simple (name/birthdate/common word),Rarely,Never,"Yes, likely",Never,Open it to check,Once,"Yes, but over a year ago",Attend but forget,Personal device (BYOD),Frequently,"Yes, if it looks harmless",Frequently,Never,Occasionally,Sales & Marketing,High
Never,Medium (word + numbers),Never,Never,Rarely,Always,Ignore it,Never,Never,Skip when possible,Shared/public device,Frequently,"Yes, if it looks harmless",Occasionally,Never,Never,Finance,Moderate
Often,Simple (name/birthdate/common word),Never,Never,"Yes, likely",Never,Ignore it,More than once,Never,Skip when possible,Shared/public device,Rarely,Only after scanning it,Occasionally,Always,Occasionally,Operations,High
Sometimes,"Long & random (12+ chars, mixed)",Every 1-3 months,Never,Rarely,Sometimes,Delete it,Never,"Yes, but over a year ago",Skip when possible,Company-issued & managed,Never,"Yes, if it looks harmless",Never,Never,Never,Sales & Marketing,Low
Always,Simple (name/birthdate/common word),Never,Never,"Yes, likely",Never,Ignore it,Never,"Yes, but over a year ago",Attend but forget,Shared/public device,Frequently,"Yes, if it looks harmless",Frequently,Always,Occasionally,Sales & Marketing,High
Sometimes,Simple (name/birthdate/common word),Rarely,Sometimes,Never,Always,Report to IT/Security,Never,"Yes, recently (within 6 months)","Very seriously, apply what I learn",Company-issued & managed,Never,Never,Occasionally,Sometimes,Once,HR,Low
Sometimes,"Long & random (12+ chars, mixed)",Rarely,Never,"Yes, likely",Always,Open it to check,Never,"Yes, but over a year ago","Very seriously, apply what I learn",Company-issued & managed,Frequently,Never,Occasionally,Sometimes,Once,Operations,Low
Never,"Long & random (12+ chars, mixed)",Never,Never,Sometimes,Always,Report to IT/Security,Never,Never,"Very seriously, apply what I learn",Shared/public device,Rarely,Only after scanning it,Occasionally,Never,Occasionally,Other,Low
Always,Medium (word + numbers),Never,Sometimes,"Yes, likely",Always,,More than once,"Yes, but over a year ago",Skip when possible,Shared/public device,Frequently,Only after scanning it,Frequently,Sometimes,Once,Sales & Marketing,High
Often,Medium (word + numbers),Never,Sometimes,Never,Sometimes,Open it to check,More than once,Never,"Very seriously, apply what I learn",Personal device (BYOD),Rarely,"Yes, if it looks harmless",Never,Always,Once,Operations,Moderate
Never,Medium (word + numbers),Every 1-3 months,Always,"Yes, likely",Sometimes,Delete it,Never,"Yes, recently (within 6 months)","Very seriously, apply what I learn",Company-issued & managed,Never,Never,Never,Never,Never,HR,Low
Always,Simple (name/birthdate/common word),Rarely,Never,Sometimes,Never,Open it to check,More than once,Never,"Very seriously, apply what I learn",Company-issued & managed,Frequently,Only after scanning it,Frequently,Sometimes,Never,Finance,High
Always,Medium (word + numbers),Never,Never,"Yes, likely",Sometimes,Open it to check,More than once,"Yes, but over a year ago","Very seriously, apply what I learn",Company-issued & managed,Frequently,"Yes, if it looks harmless",Never,Never,Occasionally,HR,Moderate
Sometimes,Medium (word + numbers),Rarely,Sometimes,"Yes, likely",Sometimes,Delete it,More than once,"Yes, but over a year ago","Very seriously, apply what I learn",Company-issued & managed,Never,Never,Occasionally,Sometimes,Never,Sales & Marketing,Moderate
Sometimes,"Long & random (12+ chars, mixed)",Every 1-3 months,Always,Rarely,Always,Report to IT/Security,Never,"Yes, recently (within 6 months)",Attend but forget,Shared/public device,Never,Never,Frequently,Sometimes,Never,HR,Low
Often,Medium (word + numbers),Every 1-3 months,Never,Rarely,Never,Delete it,Never,"Yes, but over a year ago",Skip when possible,Shared/public device,Rarely,"Yes, if it looks harmless",Occasionally,Sometimes,Occasionally,Sales & Marketing,Moderate
Never,"Long & random (12+ chars, mixed)",Every 1-3 months,Never,Never,Never,Ignore it,Once,Never,Skip when possible,,Frequently,Only after scanning it,Frequently,Never,Never,Other,Moderate
Sometimes,"Long & random (12+ chars, mixed)",Rarely,Sometimes,Never,Never,Report to IT/Security,Never,Never,"Very seriously, apply what I learn",Personal device (BYOD),Frequently,Never,Frequently,Sometimes,Once,Operations,Moderate
Always,Medium (word + numbers),Every 6-12 months,Sometimes,"Yes, likely",Sometimes,Delete it,Once,"Yes, but over a year ago","Very seriously, apply what I learn",Shared/public device,Never,Never,Never,Never,Once,Operations,Low
Never,Simple (name/birthdate/common word),Rarely,Sometimes,Never,Always,Report to IT/Security,Once,"Yes, but over a year ago","Very seriously, apply what I learn",Personal device (BYOD),Frequently,"Yes, if it looks harmless",Frequently,Always,Never,Sales & Marketing,Moderate
Sometimes,Simple (name/birthdate/common word),Rarely,Never,Never,Sometimes,Ignore it,Once,"Yes, recently (within 6 months)","Very seriously, apply what I learn",Company-issued & managed,Never,Never,Frequently,Never,Occasionally,IT,Low
Always,Simple (name/birthdate/common word),Rarely,Always,"Yes, likely",Sometimes,Report to IT/Security,More than once,Never,Attend but forget,Personal device (BYOD),Never,Only after scanning it,Never,Never,Never,Operations,Moderate
Sometimes,Medium (word + numbers),Every 6-12 months,Never,"Yes, likely",Never,Delete it,Once,"Yes, recently (within 6 months)",Skip when possible,Company-issued & managed,Frequently,"Yes, if it looks harmless",Never,Never,Occasionally,Finance,High
Often,Medium (word + numbers),Every 6-12 months,Always,Sometimes,Never,Open it to check,More than once,"Yes, recently (within 6 months)",Skip when possible,Shared/public device,Frequently,Only after scanning it,Frequently,Always,Once,HR,High
Never,"Long & random (12+ chars, mixed)",Every 6-12 months,Sometimes,Never,Sometimes,Delete it,Never,"Yes, but over a year ago","Very seriously, apply what I learn",Personal device (BYOD),Never,Never,Never,Sometimes,Never,IT,Low
